emotion,input_text,target_text
Sadness,Was this caused by a recent or distant event (or events)?,Has this feeling arisen because of a recent or distant event?
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I understand. Do you perhaps feel that someone else is at fault, as if they are making you feel this way?"
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thank you for being so helpful and patient thus far. If you don't mind I have a few more questions that will further help me understand the situation.
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have you tried Protocol 6 and has it felt too intense?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you consider yourself to be a victim of someone else's actions?
Sadness,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing all this with me, I imagine it must be difficult. I'd like to better understand what you are going through with a few more questions."
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"You are probably familiar with Protocol 6, which can be used to look back to traumatic events. Have you made an attempt at Protocol 6 recently and if you have, did you feel that this brought up some feelings that were difficult to deal with when you thought of these past events?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Ok, thank you for letting me know that. Perhaps you have gotten into a mindset where you're seeing yourself as the victim, and someone else is the perpetrator?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,I'm going to show you a list of unhealthy emotions that are nevertheless common to feel or express toward others at times. Could you please let me know if you've strongly experienced any of the following emotions toward the people in your life:
Sadness,Do you believe that you should be the saviour of someone else?,"Do you feel that your actions are attempting to fix things, help or make things right for someone?"
Anger,Are you always blaming and accusing yourself for when something goes wrong?,Do you always feel that you are the main person responsible for the difficulties or troubles that happen to you?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are you facing any difficulties with loved ones perhaps?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,"Feel free to answer the next question openly, it is normal to feel negative emotions at times and important that we are able to recognise them. Could you tell me if you have felt or expressed any of these emotions towards anyone:"
Anger,Was this caused by a recent or distant event (or events)?,I would like to know more about when this took place. Was is it very recent or did it happen a while ago?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,Other than what you've mentioned are any of these feelings also involved in what you've been experiencing recently:
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have these emotions been reignited due to you attempting Protocol 6 by any chance?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",I can see something is troubling you. Do you feel someone is hurting you?
Sadness,Was this caused by a specific event/s?,Did something happen that is causing your current feeling?
Fear,Was this caused by a recent or distant event (or events)?,This thing that is making you feel anxious - did it happen recently or was it some time ago?
Sadness,Was this caused by a specific event/s?,"Thank you, I understand. Did something in particular cause this?"
Sadness,Was this caused by a recent or distant event (or events)?,"I'm sorry to hear that. Is there some recent event in particular that you could isolate as the cause for this, or is it an event that happened a while back?"
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Were you able to try Protocol 6 and did that make you feel worse?
Fear,Do you feel that you are trying to control someone?,"Thank you, I would like to help you feel better, as I know anxiety is difficult. Is it possible that you are trying to control someone and could this be contributing to your feelings of great stress?"
Anger,Was this caused by a recent or distant event (or events)?,It's okay to go through this. Was this caused by a recent or distant event (or events)?
Sadness,"In previous conversations, have you considered other viewpoints presented?","Thinking back to previous situations and conversations with others, have you ever stepped outside your thought process and pondered viewpoints that may challenge yours?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,"Thank you for trusting me, I would now like to know what sort of emotions you have been dealing with lately. Could you tell me if you have felt any of the following emotions:"
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,Sometimes we feel very strongly in certain scenarios. Have you felt any of these emotions toward someone in your life:
Sadness,Do you believe that you should be the saviour of someone else?,Do you feel like someone needs your help?
Fear,Do you feel that you are trying to control someone?,Do you feel like you need to be in control of things or people to help calm your anxiety?
Fear,Do you believe that you should be the saviour of someone else?,Do you feel as though you have a duty to help another person?
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?","May I ask if you feel like a victim right now, and someone else is responsible for your sadness?"
Anger,Are you always blaming and accusing yourself for when something goes wrong?,Do you always feel like you are the one causing your problems?
Anger,Was this caused by a specific event/s?,"Thank you, I would like to better relate to what's going on. Please tell me, was this caused by a particular event?"
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,"May I ask if you have, in recent days, felt or expressed any of the following strong emotions toward someone in your life:"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have you tried Protocol 6 recently and found it brought uncontrollable emotions stemming from past events back to life?
Fear,Do you believe that you should be the saviour of someone else?,"Do you feel that you have a strong desire to help others lately and you may be over extending yourself a little, to the point where it is affecting your own life?"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"Do you feel that you always go too hard on yourself after a negative experience, instead of diverting some of the blame to things outside of your control?"
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Have you already attempted Protocol 6 but found that, instead of easing your anxiety, it made it worse?"
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thank you for your responses so far. The next questions will help to get a better understanding of what you are experiencing.
Sadness,Was this caused by a specific event/s?,Is this feeling caused by a specific event?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Generally speaking, do you feel that others are to blame for your problems?"
Fear,Was this caused by a recent or distant event (or events)?,"I understand, and I am sorry to hear that. May I ask if this feels like something that happened recently, or is it a memory of something more distant in the past?"
Sadness,Do you believe that you should be the saviour of someone else?,Do you think someone else's problem should be your problem to solve?
Sadness,Do you feel that you are trying to control someone?,"Do you, even without realizing it, try to control the people around you?"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"I will try to help a bit more, if it is ok with you, as I see your distress. Could it be that you are being too hard on yourself, always blaming and accusing yourself when something goes wrong?"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you always place the blame of your misfortunes on yourself?
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Have you been having major personal problems with some people, family or friends?"
Sadness,Was this caused by a specific event/s?,"In order to try to make you feel better, I need to understand if anything happened to cause this. Did  a specific event cause your sadness?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Is there something personal going on which is causing these negative thoughts?
Fear,Was this caused by a recent or distant event (or events)?,"I am here with you. When did this happen, recently or in the more distant past?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Do you feel you are the victim in this situation, blaming anyone else for how you feel?"
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I feel that I could suggest Protocol 6 to you to deal with this past event, however I would like to make sure that it is right for you. Have you attempted Protocol 6 in the past and found that it reignited uncomfortable emotions?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are you going through a hard time personally right now?
Fear,Do you feel that you are trying to control someone?,"Do you feel you could be seen as controlling, or even intimidating?"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Do you maybe feel like a victim, do you feel like there is someone behind your anxiety?"
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,I would like to know if there is anything happening right now that feels bigger than normal. Do you feel like you are facing a personal crisis?
Anger,Do you believe that you should be the saviour of someone else?,"Let's try to understand if something deeper caused you to feel this anger. Did anything happen recently, do you feel guilty toward someone perhaps - someone who you were unable to help?"
Fear,Was this caused by a specific event/s?,"I'm sorry you're feeling anxious at the moment, I want to be able to help in any way I can. I hope you don't mind me asking, but is there something that's happened in particular?"
Fear,Do you feel that you are trying to control someone?,Do you worry about not being able to know or control what someone else is going to do?
Anger,Do you feel that you are trying to control someone?,Are you trying to control someone that's uncooperative?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,Have you felt any of these emotions strongly toward someone:
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Perhaps your stress stems from something difficult you are personally going through. Are you experiencing any difficulties with loved ones, or friends?"
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,Would you say that you have felt or expressed any of the following emotions toward anybody recently:
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,Do you always unfairly hold yourself accountable for what happens to you?
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,I would like to ask whether you feel that your personal life is unstable in any way right now. Are your relationships with family or friends on the rocks?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you always think it's your own fault when things go wrong?
Fear,Thank you. Now I will ask some questions to understand your situation.,It's good that you have shared how you feel. Shall we talk further to help me understand how I can support you in your situation?
Fear,Do you feel that you are trying to control someone?,"I see, thank you, let's move on to the next question to try to get to the root of your feelings. Do you feel, perhaps, like you are trying to control someone?"
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,Have you felt any of the following emotions toward other people in your life:
Anger,Are you always blaming and accusing yourself for when something goes wrong?,"When things go wrong, do you always think that you are to blame?"
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thank you for sharing that. I would like to better understand what happened by asking some follow-up questions.
Anger,Are you always blaming and accusing yourself for when something goes wrong?,Are you always angry at yourself when something bad happens?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Have you tried Protocol 6 and if you have, did you find that it brought up difficult emotions from the past?"
Fear,Do you feel that you are trying to control someone?,Do you ever feel like you're trying to control someone else?
Sadness,Was this caused by a recent or distant event (or events)?,"I see, thank you. Was this caused by a recent or distant event (or events)?"
Fear,Was this caused by a specific event/s?,"It's completely normal to feel how you are feeling, I understand and I'd like to help. Do you think this was caused by anything specific?"
Sadness,Was this caused by a specific event/s?,I am sorry to hear that. Can you tell me if it was caused by a specific event or events that you could share?
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you for choosing to share your feelings with me. If you are comfortable, can I ask you some more questions to see how I can support you best?"
Fear,"In previous conversations, have you considered other viewpoints presented?","I'd like to ask you a little about your thought patterns now, if that is ok. Generally speaking, do you see yourself as someone who listens to others without prejudice?"
Fear,Do you believe that you should be the saviour of someone else?,Do you think it would be helpful to you if you were to help someone else?
Anger,Do you feel that you are trying to control someone?,"Thank you, and what about your ability to control or influence others. Do you feel that you have, or need to have, influence on someone else?"
Sadness,Do you feel that you are trying to control someone?,Is it possible that you might be forcefully influencing someone else's decisions and behaviour?
Fear,"In previous conversations, have you considered other viewpoints presented?","When you speak to others, do you usually try and understand their perspective?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Do you have personal issues such as difficuties with a loved one or did you break up with a friend?
Fear,"In previous conversations, have you considered other viewpoints presented?","Have you been thinking at all about what other people may have advised, and which could be of help to you now?"
Fear,Do you feel that you are trying to control someone?,Is it possible that you're anxious because you feel that someone else does things that you should have more control over?
Sadness,Was this caused by a recent or distant event (or events)?,Thank you for letting me know. Was this caused by a recent or distant event (or events)?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"When attempting to revisit this past traumatic event, as is requested in Protocol 6, did you find you were emotionally uncomfortable and have difficulty proceeding?"
Anger,Do you feel that you are trying to control someone?,Is it possible that you are trying to change or influence someone else's behaviour?
Anger,Was this caused by a recent or distant event (or events)?,Did this happen to you recently or is it something from your more distant past?
Fear,Was this caused by a specific event/s?,"Thank you for letting me know how you feel, I would like to help you overcome this and feel better. May I ask, was your current feeling caused by a specific event (or events)?"
Anger,Was this caused by a specific event/s?,"Thank you for sharing your feelings with me, even though it may be difficult for you right now. Do you think your feelings may have been caused by something specific?"
Anger,Do you feel that you are trying to control someone?,"If I may ask, do you feel that you want to control someone in your life right now?"
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,Do you find yourself always taking the blame when things go wrong?
Fear,Do you believe that you should be the saviour of someone else?,Do you think that you might be looking to help or even change someone instead of focusing on yourself?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel bad right now because of someone else?
Fear,Was this caused by a specific event/s?,"I am sorry to hear that you are feeling that way. I would like to ask you if this was caused by something specific, if you do not mind."
Anger,Was this caused by a specific event/s?,"I see, thanks for sharing. Did something specific happen that made you feel this way?"
Fear,"In previous conversations, have you considered other viewpoints presented?","Please tell me, is it usually easy for you to engage in a conversation and listen to others?"
Sadness,"In previous conversations, have you considered other viewpoints presented?","Do you think there is another way that you can view this situation, and could other people's advice help you find it?"
Anger,Was this caused by a specific event/s?,"Thank you, I understand you're upset right now, but I would appreciate it if you could tell me a bit more. Did a specific event cause your anger?"
Sadness,Was this caused by a specific event/s?,Did something happen to make you feel this way?
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,"If I may ask, do you always feel that you messed up somehow?"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"Thank you, I want to ask again about how you feel about this anxiety. Do you ever have a voice inside you that has a go at you, tells you that this is actually all down to you, that you're to blame for feeling like this or that it's your fault that something has gone wrong?"
Anger,Do you feel that you are trying to control someone?,"Do you think that someone is not giving you the freedom that you deserve, and you have to convince them?"
Fear,Do you believe that you should be the saviour of someone else?,Thank you. Do you feel like others are relying on you too much for support?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are you worried about any personal issues between you and people close to you?
Anger,Do you feel that you are trying to control someone?,Do you think it's possible that you're just trying to control every move another person makes?
Sadness,"In previous conversations, have you considered other viewpoints presented?","Have you, in all honesty, tried to put yourself in others' shoes or taken the situation in a different light?"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you, in that case I have a follow-up question. Is it more a feeling of being done wrong by somebody else which is causing these negative thoughts?"
Sadness,Do you feel that you are trying to control someone?,Do you ever worry that you might be taking your negative feelings out on someone else?
Sadness,Was this caused by a specific event/s?,I'm very sorry to hear that you are sad. Did anything happen to cause your sadness?
Sadness,Was this caused by a specific event/s?,"Oh, I am so sorry to hear this. Did a specific situation cause this?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,"Did you experience any of the following powerful emotions about somebody in particular, and/or did you communicate them to that person:"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,May I ask if you have already gone through Protocol 6 and found that it brought back difficult emotions?
Anger,Do you believe that you should be the saviour of someone else?,"Do you ever feel like you are always trying to look out for others, rather than yourself?"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you believe that you should always be hard on yourself when things don't go to plan?
Fear,Do you feel that you are trying to control someone?,"That's ok, thanks for letting me know. Could it be that you are the one who is trying to control others? Sometimes we might unintentionally try to control others when we are experiencing pain ourselves."
Anger,Was this caused by a specific event/s?,I'm sorry about that. Is there anything in particular that has made you feel this way?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","It's ok to feel the way that you are feeling. Do you believe you are a victim of someone else's words or actions, and your current anger stems from this feeling of powerlessness?"
Anger,"In previous conversations, have you considered other viewpoints presented?","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Do you consider yourself to be a good listener?"
Anger,Thank you. Now I will ask some questions to understand your situation.,"Thank you so much for your cooperation, I greatly appreciate it. I have just a few more questions to help me better understand what you're experiencing."
Sadness,Was this caused by a recent or distant event (or events)?,Has this event happened recently or was it a while back?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,I'm going to show you a list of emotions now. Please tell me if you have strongly felt or expressed any of these emotions towards someone:
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Is someone else at fault for making you feel like a victim?
Anger,Thank you. Now I will ask some questions to understand your situation.,Thank you so much for your responses. May I find out some additional information that will help me to be able to fully understand your concerns?
Anger,Thank you. Now I will ask some questions to understand your situation.,"Thanks so much. Let's go through a few simple questions to get a better understanding of the situation, if that's ok."
Fear,Do you feel that you are trying to control someone?,Do you think you are in a position where you are trying to influence how someone else behaves?
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Are you struggling with any personal difficulties (such as with loved ones, or falling out with friends)?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel that you are being victimised in any way?
Anger,"In previous conversations, have you considered other viewpoints presented?","Thinking back to previous conversation you've had recently, do you remember what other people's thoughts were, and have you thought about them further?"
Sadness,Was this caused by a specific event/s?,Did something happen to make you feel this way?
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are you going through something that is consuming you or stressing you out?
Sadness,Do you believe that you should be the saviour of someone else?,Do you believe there is someone who deserves to be saved by you?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are there any major issues going on in your personal life that could be contributing to your sadness?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you always feel that you are responsible for things that are actually outside of your control?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,I understand that events in your past can bring up strong emotions. Have these feelings been reignited because of an attempt at Protocol 6?
Anger,"In previous conversations, have you considered other viewpoints presented?",Have you taken some time to think about other viewpoints than yours?
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"I understand this is not a good moment for you, and maybe there is something bigger going on. Are you experiencing a personal crisis, facing unmanageable issues involving other people in your life?"
Fear,"In previous conversations, have you considered other viewpoints presented?","Thank you for answering that. Do you ever try to see things from a different point of view, to try to put yourself in someone else's shoes?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Have you felt any of the following intense emotions toward other people:
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,Could you share with me whether you have strongly felt any of the following emotions:
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Did you try out Protocol 6, and if so, did it make you feel worse?"
Sadness,"In previous conversations, have you considered other viewpoints presented?",Do you ever imagine what it would be like to have a viewpoint other than your own?
Fear,Do you feel that you are trying to control someone?,"I appreciate you for opening up to me. In all this, do you see yourself trying to influence or control someone elses's actions?"
Fear,Was this caused by a recent or distant event (or events)?,"When did this happen, was it recently or a while ago?"
Anger,Was this caused by a recent or distant event (or events)?,Did this happen recently or is it due to events from the distant past?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Recently have you felt deep down any of the following feelings toward someone else:
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Would you say that you feel the way you do because of someone else?
Anger,Are you always blaming and accusing yourself for when something goes wrong?,Are you always trying to be critical of yourself?
Fear,Do you feel that you are trying to control someone?,"Okay, thank you for this. Do you think you are often taking charge of people or things in your life?"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel as if someone else is causing your negative feelings?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Could it be that, sometimes, you attribute to others the responsibility for mistakes you make, or tend to shrug off guilt?"
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thank you for sharing that with me. Now I'd like to ask you some questions so I can better understand your situation.
Fear,"In previous conversations, have you considered other viewpoints presented?",Would you say that you are always able to consider someone's perspective and opinion when you are chatting with them?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,May I ask if you have felt or expressed any of these emotions towards someone:
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel or believe that other people may have harmed you?
Anger,"In previous conversations, have you considered other viewpoints presented?",Would you say that you generally listen to others' input?
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Would you say that you're experiencing a personal trauma at the moment, possibly involving your loved ones or friends?"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Sometimes we might feel that others are responsible for our feelings. Do you believe someone is causing your anxiety right now?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Protocol 6 can at times have quite negative effects on people. Have you attempted Protocol 6, and has it affected you negatively?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel like others are responsible for your negative feelings?
Sadness,Was this caused by a recent or distant event (or events)?,"Do you think something recent caused this feeling, or was it something more distant?"
Sadness,Thank you. Now I will ask some questions to understand your situation.,"Thank you, I appreciate you sharing with me, I know this can be difficult. I'd like to ask a few more questions to get to know your situation better."
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thanks a lot for talking to me. I would like to ask you some questions so I could know your situation better.
Sadness,"In previous conversations, have you considered other viewpoints presented?","Have you taken a step back and considered all angles, looked at your situation from others' point of view?"
Sadness,Was this caused by a recent or distant event (or events)?,"I'm sorry, that must have been hard. Was the thing that happened quite recent or did it occur a long time ago?"
Sadness,Was this caused by a specific event/s?,"Please tell me, was this caused by a specific event/s?"
Sadness,Thank you. Now I will ask some questions to understand your situation.,"Thank you, I am sorry you're struggling right now and want to help. Let's move on to the next questions and try to resolve this situation."
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are you having difficulties with life events right now?
Sadness,Do you believe that you should be the saviour of someone else?,Do you feel that you need to always be there for someone?
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,"I know this may be difficult, but could you tell me a bit more about your emotions. I'd like to know whether you have felt any of these emotions toward another person:"
Anger,Was this caused by a recent or distant event (or events)?,Sorry to hear that. Was it a recent or a more distant event that caused this?
Fear,Was this caused by a specific event/s?,"So I can help you lessen your anxiety, are you able to think of a specific event that might have caused it?"
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,Could you tell me if you've strongly felt or expressed any of the following emotions toward someone:
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I know this is hard, so thank you for sharing with me. Did trying Protocol 6, if you have, reignite this bad feeling for you?"
Sadness,Do you believe that you should be the saviour of someone else?,Do you feel there is something you can do that will make someone else better?
Sadness,Was this caused by a specific event/s?,Is there anything in particular which has made you feel that way?
Anger,Do you feel that you are trying to control someone?,"If I may ask you this, do you feel like you need to be the one in control?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Would you say that you have strongly felt or expressed any of these emotions to others:
Fear,Are you always blaming and accusing yourself for when something goes wrong?,I just want to ask about any feelings of culpability that you may be experiencing. Do you always feel like everything is your fault?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Would you say that your life too chaotic right now, and that is becoming overwhelming?"
Fear,Was this caused by a specific event/s?,I am sorry to hear this. Is there a specific event that may have caused you to feel this way?
Fear,Thank you. Now I will ask some questions to understand your situation.,Thanks for sharing all this with me. Do you mind if we move on and work through this together?
Fear,Thank you. Now I will ask some questions to understand your situation.,"Okay, thanks. So if it's okay, let me ask some questions to try and understand things a little more."
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Did you try Protocol 6 and did it make you feel overwhelmed?
Anger,Do you feel that you are trying to control someone?,Do you feel like you want or need to control the behaviour of someone else in your life?
Anger,Do you believe that you should be the saviour of someone else?,Let's try to work out if there are deeper reasons why you are feeling this anger. Could it be that you are frustrated because you are not able to rescue someone in your life from their own problems?
Anger,Do you believe that you should be the saviour of someone else?,"Sometimes when we're angry, it's because we want to help people, but we feel we can't or they won't let us. Do you feel that there is someone in your life who you're trying to save or rescue?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I see, and what about feelings of victimisation, those can sometimes make us angry at the world. Do you feel like someone else is hurting you or taking advantage of you?"
Fear,Do you believe that you should be the saviour of someone else?,Are you concerned and anxious that it is your job to make someone else happier?
Anger,Do you feel that you are trying to control someone?,Do you often find yourself trying to control others?
Anger,"In previous conversations, have you considered other viewpoints presented?",Can you confidently say that you have always carefully considered other viewpoints presented by friends or family in the past?
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,Do you always blame yourself when something goes wrong?
Fear,Was this caused by a recent or distant event (or events)?,"Okay thank you, I'm glad you're comfortable talking about this. Was this event that caused your anxiety recent or a while ago?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Is this a feeling that came about a result of you doing Protocol 6?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Thank you for answering that. Do you blame someone else for the negative emotion that you are feeling right now?
Fear,Was this caused by a recent or distant event (or events)?,"Did it happen recently, or is this a past event that's still affecting you?"
Sadness,Was this caused by a specific event/s?,Can you tell me if this was caused by a specific event/s?
Fear,Do you feel that you are trying to control someone?,Do you think that in some way you may have - or trying to have - control of another person?
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thank you. I'd like to ask you some questions to better understand the situation you're experiencing.
Fear,"In previous conversations, have you considered other viewpoints presented?","Do you always, truly listen to everyone talking to you?"
Anger,Do you feel that you are trying to control someone?,Do you think you have a need for control in your relationships lately?
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,May I ask if there are any major problems in your life right now?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Is there anything going on in your personal life that is causing you to feel this way?
Anger,"In previous conversations, have you considered other viewpoints presented?",Do you tend to also include others' viewpoints before drawing conclusions?
Anger,Do you feel that you are trying to control someone?,Could you look within yourself and tell me if you feel you are trying to control someone?
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing, I know it can be difficult sometimes. Can we talk a little bit more about your current personal circumstances?"
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Did you try using Protocol 6 lately and if so, did it make your emotions surge?"
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank for answering those questions, I understand that it may have been difficult for you. I'd now like to move on and ask you some more questions to better understand your feelings at the moment."
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you find it easier or natural to place the blame for your problems and feelings on others?
Sadness,Was this caused by a specific event/s?,Did something happen to bring about this feeling?
Anger,Thank you. Now I will ask some questions to understand your situation.,I am sorry you have to deal with this right now. Please let me ask you some questions so that I can determine what is the best course of action to make you feel better.
